dBm,Azimuth,Elevation
-73,90,0
-70,75,0
-66,60,0
-63,45,0
-61,30,0
-60,15,0
-59.5,0,0
-59.5,-15,0
-60,-30,0
-62,-45,0
-63.5,-60,0
-69,-75,0
-73,-90,0
-72,90,15
-70,75,15
-68,60,15
-64,45,15
-62,30,15
-61.5,15,15
-61,0,15
-61,-15,15
-62,-30,15
-65,-45,15
-69,-60,15
-71,-75,15
-72,-90,15
-70,90,30
-66,75,30
-63,60,30
-60,45,30
-59,30,30
-58,15,30
-58,0,30
-58.5,-15,30
-59,-30,30
-61,-45,30
-64,-60,30
-66,-75,30
-71,-90,30
-75,90,45
-68,75,45
-63,60,45
-61,45,45
-60,30,45
-59,15,45
-59,0,45
-59,-15,45
-60,-30,45
-61,-45,45
-67,-60,45
-69,-75,45
-70,-90,45
-73,90,60
-71,75,60
-67,60,60
-64,45,60
-62.5,30,60
-61,15,60
-60,0,60
-60,-15,60
-61,-30,60
-63,-45,60
-64,-60,60
-67,-75,60
-68,-90,60
-74,90,75
-71,75,75
-66,60,75
-63.5,45,75
-62.5,30,75
-61,15,75
-60.5,0,75
-61,-15,75
-62,-30,75
-63,-45,75
-67,-60,75
-70,-75,75
-73,-90,75
