dBm,Elevation,Azimuth
-73,0,90
-70,0,75
-66,0,60
-63,0,45
-61,0,30
-60,0,15
-59.5,0,0
-59.5,0,-15
-60,0,-30
-62,0,-45
-63.5,0,-60
-69,0,-75
-73,0,-90
-72,15,90
-70,15,75
-68,15,60
-64,15,45
-62,15,30
-61.5,15,15
-61,15,0
-61,15,-15
-62,15,-30
-65,15,-45
-69,15,-60
-71,15,-75
-72,15,-90
-70,30,90
-66,30,75
-63,30,60
-60,30,45
-59,30,30
-58,30,15
-58,30,0
-58.5,30,-15
-59,30,-30
-61,30,-45
-64,30,-60
-66,30,-75
-71,30,-90
-75,45,90
-68,45,75
-63,45,60
-61,45,45
-60,45,30
-59,45,15
-59,45,0
-59,45,-15
-60,45,-30
-61,45,-45
-67,45,-60
-69,45,-75
-70,45,-90
-73,60,90
-71,60,75
-67,60,60
-64,60,45
-62.5,60,30
-61,60,15
-60,60,0
-60,60,-15
-61,60,-30
-63,60,-45
-64,60,-60
-67,60,-75
-68,60,-90
-74,75,90
-71,75,75
-66,75,60
-63.5,75,45
-62.5,75,30
-61,75,15
-60.5,75,0
-61,75,-15
-62,75,-30
-63,75,-45
-67,75,-60
-70,75,-75
-73,75,-90
